CODE,LABEL,YEAR,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Males who are current smokers no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Females who are current smokers no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,"SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons with high or very high psychological distress, based on the Kessler 10 (K10) scale no.",SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons with fair or poor self-assessed health (15 years and over) no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons who had high blood pressure (measured systolic/diastolic blood pressure was equal to or greater than 140/90 mmHg) no.,PRIVATE HEALTH Taxpayers who report having private health insurance  no.,CORE ACTIVITY NEED FOR ASSISTANCE  Persons who have need for assistance with core activities %
107011546,Port Kembla - Warrawong,2012,-,-,-,-,-,-,-,-,-,"1,501",-
107011546,Port Kembla - Warrawong,2013,-,-,-,-,-,-,-,-,-,"1,374",-
107011546,Port Kembla - Warrawong,2014,-,-,-,-,-,-,-,-,-,"1,576",-
107011546,Port Kembla - Warrawong,2015,-,-,-,-,-,-,-,-,-,"1,733",-
107011546,Port Kembla - Warrawong,2016,-,-,-,-,-,-,-,-,-,"1,794",10.8
107011547,Windang - Primbee,2011,-,-,-,-,-,-,-,-,-,860,7.7
107011547,Windang - Primbee,2012,-,-,-,-,-,-,-,-,-,863,-
107011547,Windang - Primbee,2013,-,-,-,-,-,-,-,-,-,856,-
107011547,Windang - Primbee,2014,-,-,-,-,-,-,-,-,-,975,-
107011547,Windang - Primbee,2015,-,-,-,-,-,-,-,-,-,"1,047",-
107011547,Windang - Primbee,2016,-,-,-,-,-,-,-,-,-,"1,028",9
107031136,Albion Park - Macquarie Pass,2011,-,-,-,-,-,-,-,-,-,"3,708",4.6
107031136,Albion Park - Macquarie Pass,2012,-,-,-,-,-,-,-,-,-,"3,936",-
107031136,Albion Park - Macquarie Pass,2013,-,-,-,-,-,-,-,-,-,"3,980",-
107031136,Albion Park - Macquarie Pass,2014,-,-,-,-,-,-,-,-,-,"4,323",-
107031136,Albion Park - Macquarie Pass,2015,-,-,-,-,-,-,-,-,-,"4,550",-
107031136,Albion Park - Macquarie Pass,2016,-,-,-,-,-,-,-,-,-,"4,720",6
107031137,Albion Park Rail,2011,-,-,-,-,-,-,-,-,-,"1,427",7.5
107031137,Albion Park Rail,2012,-,-,-,-,-,-,-,-,-,"1,443",-
107031137,Albion Park Rail,2013,-,-,-,-,-,-,-,-,-,"1,387",-
107031137,Albion Park Rail,2014,-,-,-,-,-,-,-,-,-,"1,529",-
107031137,Albion Park Rail,2015,-,-,-,-,-,-,-,-,-,"1,617",-
107031137,Albion Park Rail,2016,-,-,-,-,-,-,-,-,-,"1,673",8.5
107031138,Kiama,2011,-,-,-,-,-,-,-,-,-,"2,592",5.4
107031138,Kiama,2012,-,-,-,-,-,-,-,-,-,"2,697",-
107031138,Kiama,2013,-,-,-,-,-,-,-,-,-,"2,724",-
107031138,Kiama,2014,-,-,-,-,-,-,-,-,-,"2,878",-
107031138,Kiama,2015,-,-,-,-,-,-,-,-,-,"2,982",-
107031138,Kiama,2016,-,-,-,-,-,-,-,-,-,"3,047",5.5
107031139,Kiama Downs - Minnamurra,2011,-,-,-,-,-,-,-,-,-,"2,243",3.1
107031139,Kiama Downs - Minnamurra,2012,-,-,-,-,-,-,-,-,-,"2,263",-
107031139,Kiama Downs - Minnamurra,2013,-,-,-,-,-,-,-,-,-,"2,238",-
107031139,Kiama Downs - Minnamurra,2014,-,-,-,-,-,-,-,-,-,"2,312",-
107031139,Kiama Downs - Minnamurra,2015,-,-,-,-,-,-,-,-,-,"2,497",-
107031139,Kiama Downs - Minnamurra,2016,-,-,-,-,-,-,-,-,-,"2,565",3.8
107031140,Kiama Hinterland - Gerringong,2011,-,-,-,-,-,-,-,-,-,"2,654",4.9
107031140,Kiama Hinterland - Gerringong,2012,-,-,-,-,-,-,-,-,-,"2,784",-
107031140,Kiama Hinterland - Gerringong,2013,-,-,-,-,-,-,-,-,-,"2,798",-
107031140,Kiama Hinterland - Gerringong,2014,-,-,-,-,-,-,-,-,-,"3,029",-
107031140,Kiama Hinterland - Gerringong,2015,-,-,-,-,-,-,-,-,-,"3,206",-
107031140,Kiama Hinterland - Gerringong,2016,-,-,-,-,-,-,-,-,-,"3,318",4.2
107031141,Shellharbour - Flinders,2011,-,-,-,-,-,-,-,-,-,"4,102",3.7
107031141,Shellharbour - Flinders,2012,-,-,-,-,-,-,-,-,-,"4,380",-
107031141,Shellharbour - Flinders,2013,-,-,-,-,-,-,-,-,-,"4,577",-
107031141,Shellharbour - Flinders,2014,-,-,-,-,-,-,-,-,-,"5,108",-
107031141,Shellharbour - Flinders,2015,-,-,-,-,-,-,-,-,-,"5,629",-
107031141,Shellharbour - Flinders,2016,-,-,-,-,-,-,-,-,-,"6,007",3.9
107031142,Shellharbour - Oak Flats,2011,-,-,-,-,-,-,-,-,-,"2,408",5.8
107031142,Shellharbour - Oak Flats,2012,-,-,-,-,-,-,-,-,-,"2,520",-
107031142,Shellharbour - Oak Flats,2013,-,-,-,-,-,-,-,-,-,"2,561",-
107031142,Shellharbour - Oak Flats,2014,-,-,-,-,-,-,-,-,-,"2,778",-
107031142,Shellharbour - Oak Flats,2015,-,-,-,-,-,-,-,-,-,"2,961",-
107031142,Shellharbour - Oak Flats,2016,-,-,-,-,-,-,-,-,-,"3,035",7.3
107031143,Warilla,2011,-,-,-,-,-,-,-,-,-,"3,389",7.7
107031143,Warilla,2012,-,-,-,-,-,-,-,-,-,"3,451",-
107031143,Warilla,2013,-,-,-,-,-,-,-,-,-,"3,405",-
107031143,Warilla,2014,-,-,-,-,-,-,-,-,-,"3,676",-
107031143,Warilla,2015,-,-,-,-,-,-,-,-,-,"4,005",-
107031143,Warilla,2016,-,-,-,-,-,-,-,-,-,"4,204",8.6
107041144,Balgownie - Fairy Meadow,2011,-,-,-,-,-,-,-,-,-,"6,173",5.9
107041144,Balgownie - Fairy Meadow,2012,-,-,-,-,-,-,-,-,-,"6,246",-
107041144,Balgownie - Fairy Meadow,2013,-,-,-,-,-,-,-,-,-,"6,263",-
107041144,Balgownie - Fairy Meadow,2014,-,-,-,-,-,-,-,-,-,"6,743",-
107041144,Balgownie - Fairy Meadow,2015,-,-,-,-,-,-,-,-,-,"7,029",-
107041144,Balgownie - Fairy Meadow,2016,-,-,-,-,-,-,-,-,-,"7,157",6.8
107041145,Corrimal - Tarrawanna - Bellambi,2011,-,-,-,-,-,-,-,-,-,"3,933",6.4
107041145,Corrimal - Tarrawanna - Bellambi,2012,-,-,-,-,-,-,-,-,-,"4,127",-
107041145,Corrimal - Tarrawanna - Bellambi,2013,-,-,-,-,-,-,-,-,-,"4,115",-
107041145,Corrimal - Tarrawanna - Bellambi,2014,-,-,-,-,-,-,-,-,-,"4,387",-
107041145,Corrimal - Tarrawanna - Bellambi,2015,-,-,-,-,-,-,-,-,-,"4,680",-
107041145,Corrimal - Tarrawanna - Bellambi,2016,-,-,-,-,-,-,-,-,-,"4,842",7.4
107041146,Figtree - Keiraville,2011,-,-,-,-,-,-,-,-,-,"6,937",4.4
107041146,Figtree - Keiraville,2012,-,-,-,-,-,-,-,-,-,"7,106",-
107041146,Figtree - Keiraville,2013,-,-,-,-,-,-,-,-,-,"6,974",-
107041146,Figtree - Keiraville,2014,-,-,-,-,-,-,-,-,-,"7,291",-
107041146,Figtree - Keiraville,2015,-,-,-,-,-,-,-,-,-,"7,696",-
107041146,Figtree - Keiraville,2016,-,-,-,-,-,-,-,-,-,"7,829",5.1
107041147,Helensburgh,2011,-,-,-,-,-,-,-,-,-,"3,222",3.9
107041147,Helensburgh,2012,-,-,-,-,-,-,-,-,-,"3,343",-
107041147,Helensburgh,2013,-,-,-,-,-,-,-,-,-,"3,333",-
107041147,Helensburgh,2014,-,-,-,-,-,-,-,-,-,"3,636",-
107041147,Helensburgh,2015,-,-,-,-,-,-,-,-,-,"3,753",-
107041147,Helensburgh,2016,-,-,-,-,-,-,-,-,-,"3,883",4.5
107041148,Thirroul - Austinmer - Coalcliff,2011,-,-,-,-,-,-,-,-,-,"4,136",3.4
107041148,Thirroul - Austinmer - Coalcliff,2012,-,-,-,-,-,-,-,-,-,"4,316",-
107041148,Thirroul - Austinmer - Coalcliff,2013,-,-,-,-,-,-,-,-,-,"4,459",-
107041148,Thirroul - Austinmer - Coalcliff,2014,-,-,-,-,-,-,-,-,-,"4,798",-
107041148,Thirroul - Austinmer - Coalcliff,2015,-,-,-,-,-,-,-,-,-,"5,019",-
107041148,Thirroul - Austinmer - Coalcliff,2016,-,-,-,-,-,-,-,-,-,"5,097",3.6
107041150,Woonona - Bulli - Russell Vale,2011,-,-,-,-,-,-,-,-,-,"6,111",5.7
107041150,Woonona - Bulli - Russell Vale,2012,-,-,-,-,-,-,-,-,-,"6,340",-
107041150,Woonona - Bulli - Russell Vale,2013,-,-,-,-,-,-,-,-,-,"6,428",-
107041150,Woonona - Bulli - Russell Vale,2014,-,-,-,-,-,-,-,-,-,"6,963",-
107041150,Woonona - Bulli - Russell Vale,2015,-,-,-,-,-,-,-,-,-,"7,408",-
107041150,Woonona - Bulli - Russell Vale,2016,-,-,-,-,-,-,-,-,-,"7,576",5.9
107041548,Wollongong - East,2011,-,-,-,-,-,-,-,-,-,"3,669",4.9
107041548,Wollongong - East,2012,-,-,-,-,-,-,-,-,-,"3,872",-
107041548,Wollongong - East,2013,-,-,-,-,-,-,-,-,-,"3,883",-
107041548,Wollongong - East,2014,-,-,-,-,-,-,-,-,-,"4,244",-
107041548,Wollongong - East,2015,-,-,-,-,-,-,-,-,-,"4,493",-
107041548,Wollongong - East,2016,-,-,-,-,-,-,-,-,-,"4,733",5.4
107041549,Wollongong - West,2011,-,-,-,-,-,-,-,-,-,"3,863",5.4
107041549,Wollongong - West,2012,-,-,-,-,-,-,-,-,-,"3,947",-
107041549,Wollongong - West,2013,-,-,-,-,-,-,-,-,-,"3,914",-
107041549,Wollongong - West,2014,-,-,-,-,-,-,-,-,-,"4,179",-
107041549,Wollongong - West,2015,-,-,-,-,-,-,-,-,-,"4,433",-
107041549,Wollongong - West,2016,-,-,-,-,-,-,-,-,-,"4,529",5.9
108011151,Bulahdelah - Stroud,2011,-,-,-,-,-,-,-,-,-,"1,128",6.6
108011151,Bulahdelah - Stroud,2012,-,-,-,-,-,-,-,-,-,"1,209",-
108011151,Bulahdelah - Stroud,2013,-,-,-,-,-,-,-,-,-,"1,248",-
108011151,Bulahdelah - Stroud,2014,-,-,-,-,-,-,-,-,-,"1,343",-
108011151,Bulahdelah - Stroud,2015,-,-,-,-,-,-,-,-,-,"1,440",-
108011151,Bulahdelah - Stroud,2016,-,-,-,-,-,-,-,-,-,"1,482",8.4
108011152,Forster,2011,-,-,-,-,-,-,-,-,-,"3,472",7.4
108011152,Forster,2012,-,-,-,-,-,-,-,-,-,"3,528",-
108011152,Forster,2013,-,-,-,-,-,-,-,-,-,"3,473",-
108011152,Forster,2014,-,-,-,-,-,-,-,-,-,"3,664",-
108011152,Forster,2015,-,-,-,-,-,-,-,-,-,"3,840",-
108011152,Forster,2016,-,-,-,-,-,-,-,-,-,"3,892",8.4
108011153,Forster-Tuncurry Region,2011,-,-,-,-,-,-,-,-,-,"1,312",6.2
108011153,Forster-Tuncurry Region,2012,-,-,-,-,-,-,-,-,-,"1,392",-
108011153,Forster-Tuncurry Region,2013,-,-,-,-,-,-,-,-,-,"1,423",-
108011153,Forster-Tuncurry Region,2014,-,-,-,-,-,-,-,-,-,"1,524",-
108011153,Forster-Tuncurry Region,2015,-,-,-,-,-,-,-,-,-,"1,627",-
108011153,Forster-Tuncurry Region,2016,-,-,-,-,-,-,-,-,-,"1,656",6.8
108011154,Tuncurry,2011,-,-,-,-,-,-,-,-,-,"1,242",10.9
108011154,Tuncurry,2012,-,-,-,-,-,-,-,-,-,"1,258",-
108011154,Tuncurry,2013,-,-,-,-,-,-,-,-,-,"1,254",-
108011154,Tuncurry,2014,-,-,-,-,-,-,-,-,-,"1,329",-
108011154,Tuncurry,2015,-,-,-,-,-,-,-,-,-,"1,385",-
108011154,Tuncurry,2016,-,-,-,-,-,-,-,-,-,"1,453",11.8
108021155,Kempsey,2011,-,-,-,-,-,-,-,-,-,"1,846",8.6
108021155,Kempsey,2012,-,-,-,-,-,-,-,-,-,"1,937",-
108021155,Kempsey,2013,-,-,-,-,-,-,-,-,-,"1,824",-
108021155,Kempsey,2014,-,-,-,-,-,-,-,-,-,"2,184",-
108021155,Kempsey,2015,-,-,-,-,-,-,-,-,-,"2,358",-
108021155,Kempsey,2016,-,-,-,-,-,-,-,-,-,"2,479",9.3
108021156,Kempsey Region,2011,-,-,-,-,-,-,-,-,-,"1,617",7.2
108021156,Kempsey Region,2012,-,-,-,-,-,-,-,-,-,"1,681",-
108021156,Kempsey Region,2013,-,-,-,-,-,-,-,-,-,"1,681",-
108021156,Kempsey Region,2014,-,-,-,-,-,-,-,-,-,"1,895",-
108021156,Kempsey Region,2015,-,-,-,-,-,-,-,-,-,"2,059",-
108021156,Kempsey Region,2016,-,-,-,-,-,-,-,-,-,"2,060",7.3
108021157,Macksville - Scotts Head,2011,-,-,-,-,-,-,-,-,-,799,8.9
108021157,Macksville - Scotts Head,2012,-,-,-,-,-,-,-,-,-,803,-
108021157,Macksville - Scotts Head,2013,-,-,-,-,-,-,-,-,-,870,-
108021157,Macksville - Scotts Head,2014,-,-,-,-,-,-,-,-,-,"1,011",-
108021157,Macksville - Scotts Head,2015,-,-,-,-,-,-,-,-,-,"1,134",-
108021157,Macksville - Scotts Head,2016,-,-,-,-,-,-,-,-,-,"1,170",7.8
108021158,Nambucca Heads,2011,-,-,-,-,-,-,-,-,-,949,9.9
108021158,Nambucca Heads,2012,-,-,-,-,-,-,-,-,-,939,-
108021158,Nambucca Heads,2013,-,-,-,-,-,-,-,-,-,925,-
108021158,Nambucca Heads,2014,-,-,-,-,-,-,-,-,-,"1,106",-
108021158,Nambucca Heads,2015,-,-,-,-,-,-,-,-,-,"1,191",-
108021158,Nambucca Heads,2016,-,-,-,-,-,-,-,-,-,"1,201",9.8
108021159,Nambucca Heads Region,2011,-,-,-,-,-,-,-,-,-,"1,233",6.5
108021159,Nambucca Heads Region,2012,-,-,-,-,-,-,-,-,-,"1,252",-
108021159,Nambucca Heads Region,2013,-,-,-,-,-,-,-,-,-,"1,303",-
108021159,Nambucca Heads Region,2014,-,-,-,-,-,-,-,-,-,"1,591",-
108021159,Nambucca Heads Region,2015,-,-,-,-,-,-,-,-,-,"1,818",-
108021159,Nambucca Heads Region,2016,-,-,-,-,-,-,-,-,-,"1,919",6.7
108021160,South West Rocks,2011,-,-,-,-,-,-,-,-,-,991,9.6
108021160,South West Rocks,2012,-,-,-,-,-,-,-,-,-,"1,027",-
108021160,South West Rocks,2013,-,-,-,-,-,-,-,-,-,"1,042",-
108021160,South West Rocks,2014,-,-,-,-,-,-,-,-,-,"1,138",-
108021160,South West Rocks,2015,-,-,-,-,-,-,-,-,-,"1,208",-
108021160,South West Rocks,2016,-,-,-,-,-,-,-,-,-,"1,280",9.4
108031161,Lord Howe Island,2011,-,-,-,-,-,-,-,-,-,135,2.2
108031161,Lord Howe Island,2012,-,-,-,-,-,-,-,-,-,141,-
108031161,Lord Howe Island,2013,-,-,-,-,-,-,-,-,-,135,-
108031161,Lord Howe Island,2014,-,-,-,-,-,-,-,-,-,139,-
108031161,Lord Howe Island,2015,-,-,-,-,-,-,-,-,-,151,-
108031161,Lord Howe Island,2016,-,-,-,-,-,-,-,-,-,156,2.9
108041162,Laurieton - Bonny Hills,2011,-,-,-,-,-,-,-,-,-,"3,393",7
108041162,Laurieton - Bonny Hills,2012,-,-,-,-,-,-,-,-,-,"3,478",-
108041162,Laurieton - Bonny Hills,2013,-,-,-,-,-,-,-,-,-,"3,580",-
108041162,Laurieton - Bonny Hills,2014,-,-,-,-,-,-,-,-,-,"3,953",-
108041162,Laurieton - Bonny Hills,2015,-,-,-,-,-,-,-,-,-,"4,173",-
108041162,Laurieton - Bonny Hills,2016,-,-,-,-,-,-,-,-,-,"4,418",7.9
108041163,Port Macquarie - East,2011,-,-,-,-,-,-,-,-,-,"7,819",5.6
108041163,Port Macquarie - East,2012,-,-,-,-,-,-,-,-,-,"8,069",-
108041163,Port Macquarie - East,2013,-,-,-,-,-,-,-,-,-,"8,008",-
108041163,Port Macquarie - East,2014,-,-,-,-,-,-,-,-,-,"8,697",-
108041163,Port Macquarie - East,2015,-,-,-,-,-,-,-,-,-,"9,268",-
108041163,Port Macquarie - East,2016,-,-,-,-,-,-,-,-,-,"9,251",6.3
108041164,Port Macquarie - West,2011,-,-,-,-,-,-,-,-,-,"3,251",8.5
108041164,Port Macquarie - West,2012,-,-,-,-,-,-,-,-,-,"3,287",-
108041164,Port Macquarie - West,2013,-,-,-,-,-,-,-,-,-,"3,407",-
108041164,Port Macquarie - West,2014,-,-,-,-,-,-,-,-,-,"3,718",-
108041164,Port Macquarie - West,2015,-,-,-,-,-,-,-,-,-,"4,061",-
108041164,Port Macquarie - West,2016,-,-,-,-,-,-,-,-,-,"4,277",9.5
108041165,Port Macquarie Region,2011,-,-,-,-,-,-,-,-,-,"1,284",4.8
108041165,Port Macquarie Region,2012,-,-,-,-,-,-,-,-,-,"1,324",-
108041165,Port Macquarie Region,2013,-,-,-,-,-,-,-,-,-,"1,315",-
108041165,Port Macquarie Region,2014,-,-,-,-,-,-,-,-,-,"1,491",-
108041165,Port Macquarie Region,2015,-,-,-,-,-,-,-,-,-,"1,528",-
108041165,Port Macquarie Region,2016,-,-,-,-,-,-,-,-,-,"1,625",5.3
108041166,Wauchope,2011,-,-,-,-,-,-,-,-,-,"2,199",6.7
108041166,Wauchope,2012,-,-,-,-,-,-,-,-,-,"2,262",-
108041166,Wauchope,2013,-,-,-,-,-,-,-,-,-,"2,304",-
108041166,Wauchope,2014,-,-,-,-,-,-,-,-,-,"2,611",-
108041166,Wauchope,2015,-,-,-,-,-,-,-,-,-,"2,816",-
108041166,Wauchope,2016,-,-,-,-,-,-,-,-,-,"2,933",7.2
108051167,Gloucester,2011,-,-,-,-,-,-,-,-,-,"1,456",6.7
108051167,Gloucester,2012,-,-,-,-,-,-,-,-,-,"1,478",-
108051167,Gloucester,2013,-,-,-,-,-,-,-,-,-,"1,426",-
108051167,Gloucester,2014,-,-,-,-,-,-,-,-,-,"1,522",-
108051167,Gloucester,2015,-,-,-,-,-,-,-,-,-,"1,576",-
108051167,Gloucester,2016,-,-,-,-,-,-,-,-,-,"1,591",6.4
108051168,Old Bar - Manning Point - Red Head,2011,-,-,-,-,-,-,-,-,-,"2,399",5.7
108051168,Old Bar - Manning Point - Red Head,2012,-,-,-,-,-,-,-,-,-,"2,488",-
108051168,Old Bar - Manning Point - Red Head,2013,-,-,-,-,-,-,-,-,-,"2,686",-
108051168,Old Bar - Manning Point - Red Head,2014,-,-,-,-,-,-,-,-,-,"2,868",-
108051168,Old Bar - Manning Point - Red Head,2015,-,-,-,-,-,-,-,-,-,"3,148",-
108051168,Old Bar - Manning Point - Red Head,2016,-,-,-,-,-,-,-,-,-,"3,266",6.6
108051169,Taree,2011,-,-,-,-,-,-,-,-,-,"3,406",9.1
108051169,Taree,2012,-,-,-,-,-,-,-,-,-,"3,434",-
108051169,Taree,2013,-,-,-,-,-,-,-,-,-,"3,617",-
108051169,Taree,2014,-,-,-,-,-,-,-,-,-,"3,886",-
108051169,Taree,2015,-,-,-,-,-,-,-,-,-,"4,066",-
108051169,Taree,2016,-,-,-,-,-,-,-,-,-,"4,097",9.2
108051170,Taree Region,2011,-,-,-,-,-,-,-,-,-,"2,512",6.8
108051170,Taree Region,2012,-,-,-,-,-,-,-,-,-,"2,544",-
108051170,Taree Region,2013,-,-,-,-,-,-,-,-,-,"2,671",-
108051170,Taree Region,2014,-,-,-,-,-,-,-,-,-,"2,931",-
108051170,Taree Region,2015,-,-,-,-,-,-,-,-,-,"3,103",-
108051170,Taree Region,2016,-,-,-,-,-,-,-,-,-,"3,167",7.1
108051171,Wingham,2011,-,-,-,-,-,-,-,-,-,869,7.4
108051171,Wingham,2012,-,-,-,-,-,-,-,-,-,907,-
108051171,Wingham,2013,-,-,-,-,-,-,-,-,-,949,-
108051171,Wingham,2014,-,-,-,-,-,-,-,-,-,"1,007",-
108051171,Wingham,2015,-,-,-,-,-,-,-,-,-,"1,072",-
108051171,Wingham,2016,-,-,-,-,-,-,-,-,-,"1,092",8.6
109011172,Albury - East,2011,-,-,-,-,-,-,-,-,-,"4,121",3.7
109011172,Albury - East,2012,-,-,-,-,-,-,-,-,-,"4,419",-
109011172,Albury - East,2013,-,-,-,-,-,-,-,-,-,"4,657",-
109011172,Albury - East,2014,-,-,-,-,-,-,-,-,-,"5,180",-
109011172,Albury - East,2015,-,-,-,-,-,-,-,-,-,"5,691",-
109011172,Albury - East,2016,-,-,-,-,-,-,-,-,-,"6,163",4.5
109011173,Albury - North,2011,-,-,-,-,-,-,-,-,-,"2,102",4.8
109011173,Albury - North,2012,-,-,-,-,-,-,-,-,-,"2,232",-
109011173,Albury - North,2013,-,-,-,-,-,-,-,-,-,"2,387",-
109011173,Albury - North,2014,-,-,-,-,-,-,-,-,-,"2,776",-
109011173,Albury - North,2015,-,-,-,-,-,-,-,-,-,"3,005",-
109011173,Albury - North,2016,-,-,-,-,-,-,-,-,-,"3,187",6.8
109011174,Albury - South,2011,-,-,-,-,-,-,-,-,-,"3,939",6.8
109011174,Albury - South,2012,-,-,-,-,-,-,-,-,-,"4,016",-
109011174,Albury - South,2013,-,-,-,-,-,-,-,-,-,"4,030",-
109011174,Albury - South,2014,-,-,-,-,-,-,-,-,-,"4,354",-
109011174,Albury - South,2015,-,-,-,-,-,-,-,-,-,"4,523",-
109011174,Albury - South,2016,-,-,-,-,-,-,-,-,-,"4,687",6.3
109011175,Albury Region,2011,-,-,-,-,-,-,-,-,-,"3,821",4.8
109011175,Albury Region,2012,-,-,-,-,-,-,-,-,-,"4,004",-
109011175,Albury Region,2013,-,-,-,-,-,-,-,-,-,"4,120",-
109011175,Albury Region,2014,-,-,-,-,-,-,-,-,-,"4,548",-
109011175,Albury Region,2015,-,-,-,-,-,-,-,-,-,"4,825",-
109011175,Albury Region,2016,-,-,-,-,-,-,-,-,-,"4,805",5.3
109011176,Lavington,2011,-,-,-,-,-,-,-,-,-,"3,041",5.2
109011176,Lavington,2012,-,-,-,-,-,-,-,-,-,"3,114",-
109011176,Lavington,2013,-,-,-,-,-,-,-,-,-,"3,266",-
109011176,Lavington,2014,-,-,-,-,-,-,-,-,-,"3,612",-
109011176,Lavington,2015,-,-,-,-,-,-,-,-,-,"3,915",-
109011176,Lavington,2016,-,-,-,-,-,-,-,-,-,"4,093",6.8
109021177,Hay,2011,-,-,-,-,-,-,-,-,-,789,5.7
109021177,Hay,2012,-,-,-,-,-,-,-,-,-,818,-
109021177,Hay,2013,-,-,-,-,-,-,-,-,-,848,-
109021177,Hay,2014,-,-,-,-,-,-,-,-,-,927,-
109021177,Hay,2015,-,-,-,-,-,-,-,-,-,935,-
109021177,Hay,2016,-,-,-,-,-,-,-,-,-,989,4.9
109021178,Wentworth - Buronga,2011,-,-,-,-,-,-,-,-,-,"1,559",5.4
109021178,Wentworth - Buronga,2012,-,-,-,-,-,-,-,-,-,"1,536",-
109021178,Wentworth - Buronga,2013,-,-,-,-,-,-,-,-,-,"1,486",-
109021178,Wentworth - Buronga,2014,-,-,-,-,-,-,-,-,-,"1,584",-
109021178,Wentworth - Buronga,2015,-,-,-,-,-,-,-,-,-,"1,716",-
109021178,Wentworth - Buronga,2016,-,-,-,-,-,-,-,-,-,"1,536",5.8
109021179,Wentworth-Balranald Region,2011,-,-,-,-,-,-,-,-,-,839,4.5
109021179,Wentworth-Balranald Region,2012,-,-,-,-,-,-,-,-,-,821,-
109021179,Wentworth-Balranald Region,2013,-,-,-,-,-,-,-,-,-,845,-
109021179,Wentworth-Balranald Region,2014,-,-,-,-,-,-,-,-,-,878,-
109021179,Wentworth-Balranald Region,2015,-,-,-,-,-,-,-,-,-,891,-
109021179,Wentworth-Balranald Region,2016,-,-,-,-,-,-,-,-,-,925,4
109031180,Corowa,2011,-,-,-,-,-,-,-,-,-,"1,513",5
109031180,Corowa,2012,-,-,-,-,-,-,-,-,-,"1,581",-
109031180,Corowa,2013,-,-,-,-,-,-,-,-,-,"1,583",-
109031180,Corowa,2014,-,-,-,-,-,-,-,-,-,"1,681",-
109031180,Corowa,2015,-,-,-,-,-,-,-,-,-,"1,803",-
109031180,Corowa,2016,-,-,-,-,-,-,-,-,-,"1,822",5.1
109031181,Corowa Region,2011,-,-,-,-,-,-,-,-,-,"1,758",4.8
109031181,Corowa Region,2012,-,-,-,-,-,-,-,-,-,"1,794",-
109031181,Corowa Region,2013,-,-,-,-,-,-,-,-,-,"1,827",-
109031181,Corowa Region,2014,-,-,-,-,-,-,-,-,-,"2,022",-
109031181,Corowa Region,2015,-,-,-,-,-,-,-,-,-,"2,117",-
109031181,Corowa Region,2016,-,-,-,-,-,-,-,-,-,"2,201",5.5
109031182,Deniliquin,2011,-,-,-,-,-,-,-,-,-,"2,757",6.2
109031182,Deniliquin,2012,-,-,-,-,-,-,-,-,-,"2,850",-
109031182,Deniliquin,2013,-,-,-,-,-,-,-,-,-,"2,748",-
109031182,Deniliquin,2014,-,-,-,-,-,-,-,-,-,"2,956",-
109031182,Deniliquin,2015,-,-,-,-,-,-,-,-,-,"3,122",-
109031182,Deniliquin,2016,-,-,-,-,-,-,-,-,-,"2,586",6.8
109031183,Deniliquin Region,2011,-,-,-,-,-,-,-,-,-,"1,402",4.5
109031183,Deniliquin Region,2012,-,-,-,-,-,-,-,-,-,"1,458",-
109031183,Deniliquin Region,2013,-,-,-,-,-,-,-,-,-,"1,415",-
109031183,Deniliquin Region,2014,-,-,-,-,-,-,-,-,-,"1,596",-
109031183,Deniliquin Region,2015,-,-,-,-,-,-,-,-,-,"1,649",-
109031183,Deniliquin Region,2016,-,-,-,-,-,-,-,-,-,"1,696",4.9
109031184,Moama,2011,-,-,-,-,-,-,-,-,-,"1,336",5.7
109031184,Moama,2012,-,-,-,-,-,-,-,-,-,"1,382",-
109031184,Moama,2013,-,-,-,-,-,-,-,-,-,"1,336",-
109031184,Moama,2014,-,-,-,-,-,-,-,-,-,"1,487",-
109031184,Moama,2015,-,-,-,-,-,-,-,-,-,"1,598",-
109031184,Moama,2016,-,-,-,-,-,-,-,-,-,"1,576",6
109031185,Tocumwal - Finley - Jerilderie,2011,-,-,-,-,-,-,-,-,-,"2,737",6.2
