LABEL,lat,long
Macquarie Park - Marsfield,-33.77072765,151.1038015
Maitland,-32.708177,151.5268437
Maitland - East,-32.708177,151.5268437
Maitland - North,-32.708177,151.5268437
Maitland - West,-32.708177,151.5268437
Malabar - La Perouse - Chifley,-33.9629779,151.2480171
Manly - Fairlight,-33.79540935,151.2816049
Manly Vale - Allambie Heights,-33.7830838,151.2659938
Maroubra - North,-33.9453441,151.2456824
Maroubra - South,-33.9453441,151.2456824
Maroubra - West,-33.9453441,151.2456824
Marrickville,-33.9103854,151.1556908
Maryland - Fletcher - Minmi,-32.8735509,151.6446277
Mascot - Eastlakes,-33.9267042,151.2116134
Mayfield - Warabrook,-32.8868783,151.7206509
Menai - Lucas Heights - Woronora,-34.014811,151.0164823
Merewether - The Junction,-32.9412649,151.7554533
Merimbula - Tura Beach,-36.8628056,149.9244736
Merrylands - Holroyd,-33.8291878,150.9730863
Minto - St Andrews,-34.0316667,150.8511111
Miranda - Yowie Bay,-34.0502778,151.1033333
Mittagong,-34.4500664,150.4473469
Moama,-36.1054404,144.758824
Monterey - Brighton-le-Sands - Kyeemagh,-31.8221213,149.748893
Moree,-29.4617202,149.8407153
Moree Region,-29.4617202,149.8407153
Morisset - Cooranbong,-33.0758112,151.4539993
Mortdale - Penshurst,-33.96662995,151.0775029
Moruya - Tuross Head,-35.9098127,150.0820002
Mosman,-33.8301355,151.2447663
Moss Vale - Berrima,-34.51591005,150.3503084
Mount Annan - Currans Hill,-34.0782799,150.7632296
Mount Druitt - Whalan,-33.7705556,150.8205556
Mount Hutton - Windale,-25.85,148.3333333
Mudgee,-32.5980702,149.5886383
Mudgee Region - East,-32.5980702,149.5886383
Mudgee Region - West,-32.5980702,149.5886383
Mulgoa - Luddenham - Orchard Hills,-33.81744545,150.6910699
Mullumbimby,-28.5483333,153.5011111
Murwillumbah,-28.3267617,153.3971541
Murwillumbah Region,-28.3267617,153.3971541
Muswellbrook,-32.4881159,150.516408
Muswellbrook Region,-32.4881159,150.516408
Nambucca Heads,-30.6449458,152.9924524
Nambucca Heads Region,-30.6449458,152.9924524
Narara,-33.3955556,151.3355556
Narooma - Bermagui,-36.2190152,150.1317243
Narrabeen - Collaroy,-33.7195919,151.2982884
Narrabri,-30.3278407,149.5571542
Narrabri Region,-30.3278407,149.5571542
